Connector,Initiated by,Type,Status,Description,Start time,End time
"Donner-Reuschel_Microsoft 365 Backup User Teams Chats",-,Backup,Successful,9.2 MB backed up in 2505 files.,8/12/2025 11:12:21 AM,8/12/2025 11:31:23 AM
"Donner-Reuschel_Microsoft 365 Backup OneDrive",-,Backup,Successful,238 B backed up in 1 files.,8/12/2025 07:16:50 AM,8/12/2025 07:18:11 AM
"Donner-Reuschel_Microsoft 365 Backup SharePoint and Groups & Teams",-,Backup,Successful,2.9 MB backed up in 237 files.,8/12/2025 07:16:28 AM,8/12/2025 07:20:28 AM
"Donner-Reuschel_Microsoft 365 Backup Exchange",-,Backup,Successful,120.7 MB backed up in 258 files.,8/12/2025 07:13:51 AM,8/12/2025 07:17:41 AM
"Donner-Reuschel_Microsoft 365 Backup User Teams Chats",-,Backup,Successful,9.4 MB backed up in 2541 files.,8/11/2025 11:12:21 PM,8/11/2025 11:45:13 PM
"Donner-Reuschel_Microsoft 365 Backup OneDrive",-,Backup,Successful,147.6 MB backed up in 387 files.,8/11/2025 07:16:50 PM,8/11/2025 07:37:43 PM
"Donner-Reuschel_Microsoft 365 Backup SharePoint and Groups & Teams",-,Backup,Successful,372.9 MB backed up in 2251 files.,8/11/2025 07:16:29 PM,8/11/2025 07:29:10 PM
"Donner-Reuschel_Microsoft 365 Backup Exchange",-,Backup,Successful,334.3 MB backed up in 991 files.,8/11/2025 07:13:54 PM,8/11/2025 07:35:36 PM
"Donner-Reuschel_Microsoft 365 Backup User Teams Chats",-,Backup,Successful,9 MB backed up in 2517 files.,8/11/2025 11:12:30 AM,8/11/2025 11:30:02 AM
"Donner-Reuschel_Microsoft 365 Backup OneDrive",-,Backup,Successful,1.6 kB backed up in 7 files.,8/11/2025 07:14:52 AM,8/11/2025 07:15:25 AM
"Donner-Reuschel_Microsoft 365 Backup SharePoint and Groups & Teams",-,Backup,Successful,752.5 kB backed up in 122 files.,8/11/2025 07:14:38 AM,8/11/2025 07:15:53 AM
"Donner-Reuschel_Microsoft 365 Backup Exchange",-,Backup,Successful,59.9 MB backed up in 151 files.,8/11/2025 07:11:25 AM,8/11/2025 07:14:57 AM
"Donner-Reuschel_Microsoft 365 Backup User Teams Chats",-,Backup,Successful,8.3 MB backed up in 2396 files.,8/10/2025 11:12:17 PM,8/10/2025 11:16:12 PM
"Donner-Reuschel_Microsoft 365 Backup OneDrive",-,Backup,Successful,151.7 MB backed up in 288 files.,8/10/2025 07:14:52 PM,8/10/2025 07:27:04 PM
"Donner-Reuschel_Microsoft 365 Backup SharePoint and Groups & Teams",-,Backup,Successful,6 MB backed up in 391 files.,8/10/2025 07:14:37 PM,8/10/2025 07:17:02 PM
"Donner-Reuschel_Microsoft 365 Backup Exchange",-,Backup,Successful,92.5 MB backed up in 145 files.,8/10/2025 07:11:25 PM,8/10/2025 07:17:07 PM
"Donner-Reuschel_Microsoft 365 Backup User Teams Chats",-,Backup,Successful,8.3 MB backed up in 2396 files.,8/10/2025 11:12:17 AM,8/10/2025 11:16:14 AM
"Donner-Reuschel_Microsoft 365 Backup OneDrive",-,Backup,Successful,232 B backed up in 1 files.,8/10/2025 07:14:52 AM,8/10/2025 07:15:22 AM
"Donner-Reuschel_Microsoft 365 Backup SharePoint and Groups & Teams",-,Backup,Successful,752.5 kB backed up in 122 files.,8/10/2025 07:14:38 AM,8/10/2025 07:15:51 AM
"Donner-Reuschel_Microsoft 365 Backup Exchange",-,Backup,Successful,290.5 MB backed up in 834 files.,8/10/2025 07:11:25 AM,8/10/2025 07:15:07 AM
"Donner-Reuschel_Microsoft 365 Backup User Teams Chats",-,Backup,Successful,8.3 MB backed up in 2396 files.,8/9/2025 11:12:16 PM,8/9/2025 11:16:00 PM
"Donner-Reuschel_Microsoft 365 Backup OneDrive",-,Backup,Successful,2 kB backed up in 9 files.,8/9/2025 07:14:52 PM,8/9/2025 07:15:26 PM
"Donner-Reuschel_Microsoft 365 Backup SharePoint and Groups & Teams",-,Backup,Successful,423.3 kB backed up in 32 files.,8/9/2025 07:14:36 PM,8/9/2025 07:15:46 PM
"Donner-Reuschel_Microsoft 365 Backup Exchange",-,Backup,Successful,88.2 MB backed up in 121 files.,8/9/2025 07:11:25 PM,8/9/2025 07:14:44 PM
"Donner-Reuschel_Microsoft 365 Backup User Teams Chats",-,Backup,Successful,8.3 MB backed up in 2396 files.,8/9/2025 11:12:11 AM,8/9/2025 11:15:58 AM
"Donner-Reuschel_Microsoft 365 Backup OneDrive",-,Backup,Successful,246 B backed up in 1 files.,8/9/2025 07:14:53 AM,8/9/2025 07:16:05 AM
"Donner-Reuschel_Microsoft 365 Backup SharePoint and Groups & Teams",-,Backup,Successful,3 MB backed up in 321 files.,8/9/2025 07:14:36 AM,8/9/2025 07:17:21 AM
"Donner-Reuschel_Microsoft 365 Backup Exchange",-,Backup,Successful,392.6 MB backed up in 442 files.,8/9/2025 07:11:25 AM,8/9/2025 07:15:19 AM
"Donner-Reuschel_Microsoft 365 Backup User Teams Chats",-,Backup,Successful,9.1 MB backed up in 2530 files.,8/8/2025 11:12:08 PM,8/8/2025 11:41:48 PM
"Donner-Reuschel_Microsoft 365 Backup OneDrive",-,Backup,Successful,107.7 MB backed up in 282 files.,8/8/2025 07:14:52 PM,8/8/2025 07:33:09 PM
"Donner-Reuschel_Microsoft 365 Backup SharePoint and Groups & Teams",-,Backup,Successful,121.4 MB backed up in 2578 files.,8/8/2025 07:14:36 PM,8/8/2025 07:22:11 PM
"Donner-Reuschel_Microsoft 365 Backup Exchange",-,Backup,Successful,454.8 MB backed up in 990 files.,8/8/2025 07:11:24 PM,8/8/2025 07:23:10 PM
"Donner-Reuschel_Microsoft 365 Backup User Teams Chats",-,Backup,Successful,9.3 MB backed up in 2503 files.,8/8/2025 11:12:07 AM,8/8/2025 11:29:08 AM
"Donner-Reuschel_Microsoft 365 Backup OneDrive",-,Backup,Successful,0 B backed up in 0 files.,8/8/2025 07:14:52 AM,8/8/2025 07:15:32 AM
"Donner-Reuschel_Microsoft 365 Backup SharePoint and Groups & Teams",-,Backup,Successful,3.5 MB backed up in 252 files.,8/8/2025 07:14:36 AM,8/8/2025 07:17:41 AM
"Donner-Reuschel_Microsoft 365 Backup Exchange",-,Backup,Successful,110.4 MB backed up in 312 files.,8/8/2025 07:11:24 AM,8/8/2025 07:15:44 AM
"Donner-Reuschel_Microsoft 365 Backup User Teams Chats",-,Backup,Successful,9.1 MB backed up in 2558 files.,8/7/2025 11:12:08 PM,8/7/2025 11:45:39 PM
"Donner-Reuschel_Microsoft 365 Backup OneDrive",-,Backup,Successful,9 MB backed up in 9 files.,8/7/2025 07:14:53 PM,8/7/2025 07:16:10 PM
"Donner-Reuschel_Microsoft 365 Backup SharePoint and Groups & Teams",-,Backup,Successful,139.1 MB backed up in 2756 files.,8/7/2025 07:14:37 PM,8/7/2025 07:25:34 PM
"Donner-Reuschel_Microsoft 365 Backup Exchange",-,Backup,Successful,1.2 GB backed up in 1036 files.,8/7/2025 07:11:24 PM,8/7/2025 07:30:01 PM
"Donner-Reuschel_Microsoft 365 Backup User Teams Chats",-,Backup,Successful,9.7 MB backed up in 2493 files.,8/7/2025 11:12:03 AM,8/7/2025 11:31:31 AM
"Donner-Reuschel_Microsoft 365 Backup OneDrive",-,Backup,Successful,1.6 kB backed up in 7 files.,8/7/2025 07:14:51 AM,8/7/2025 07:15:55 AM
"Donner-Reuschel_Microsoft 365 Backup SharePoint and Groups & Teams",-,Backup,Successful,1.3 MB backed up in 198 files.,8/7/2025 07:14:36 AM,8/7/2025 07:18:05 AM
"Donner-Reuschel_Microsoft 365 Backup Exchange",-,Backup,Successful,373.2 MB backed up in 449 files.,8/7/2025 07:11:24 AM,8/7/2025 07:16:42 AM
"Donner-Reuschel_Microsoft 365 Backup User Teams Chats",-,Backup,Successful,9.5 MB backed up in 2483 files.,8/6/2025 11:11:58 PM,8/6/2025 11:51:43 PM
"Donner-Reuschel_Microsoft 365 Backup OneDrive",-,Backup,Successful,579 MB backed up in 440 files.,8/6/2025 07:14:51 PM,8/6/2025 07:34:58 PM
"Donner-Reuschel_Microsoft 365 Backup SharePoint and Groups & Teams",-,Backup,Successful,137.4 MB backed up in 3654 files.,8/6/2025 07:14:37 PM,8/6/2025 07:22:16 PM
"Donner-Reuschel_Microsoft 365 Backup Exchange",-,Backup,Successful,905.9 MB backed up in 1244 files.,8/6/2025 07:11:25 PM,8/6/2025 07:22:12 PM
"Donner-Reuschel_Microsoft 365 Backup User Teams Chats",-,Backup,Successful,9.5 MB backed up in 2451 files.,8/6/2025 11:11:56 AM,8/6/2025 11:33:42 AM
"Donner-Reuschel_Microsoft 365 Backup OneDrive",-,Backup,Successful,0 B backed up in 0 files.,8/6/2025 07:14:51 AM,8/6/2025 07:15:32 AM
"Donner-Reuschel_Microsoft 365 Backup SharePoint and Groups & Teams",-,Backup,Successful,2.2 MB backed up in 219 files.,8/6/2025 07:14:33 AM,8/6/2025 07:17:48 AM
"Donner-Reuschel_Microsoft 365 Backup Exchange",-,Backup,Successful,29.3 MB backed up in 187 files.,8/6/2025 07:11:24 AM,8/6/2025 07:16:39 AM
"Donner-Reuschel_Microsoft 365 Backup User Teams Chats",-,Backup,Successful,11.2 MB backed up in 2604 files.,8/5/2025 11:11:54 PM,8/5/2025 11:43:44 PM
"Donner-Reuschel_Microsoft 365 Backup OneDrive",-,Backup,Successful,720.2 MB backed up in 612 files.,8/5/2025 07:17:05 PM,8/5/2025 07:35:43 PM
"Donner-Reuschel_Microsoft 365 Backup SharePoint and Groups & Teams",-,Backup,Successful,603.7 MB backed up in 2422 files.,8/5/2025 07:14:33 PM,8/5/2025 07:21:49 PM
"Donner-Reuschel_Microsoft 365 Backup Exchange",-,Backup,Successful,1.2 GB backed up in 1443 files.,8/5/2025 07:11:24 PM,8/5/2025 07:20:18 PM
"Donner-Reuschel_Microsoft 365 Backup User Teams Chats",-,Backup,Successful,9.1 MB backed up in 2436 files.,8/5/2025 11:11:54 AM,8/5/2025 11:36:10 AM
"Donner-Reuschel_Microsoft 365 Backup OneDrive",-,Backup,Successful,0 B backed up in 0 files.,8/5/2025 07:14:51 AM,8/5/2025 07:15:34 AM
"Donner-Reuschel_Microsoft 365 Backup SharePoint and Groups & Teams",-,Backup,Successful,3 MB backed up in 225 files.,8/5/2025 07:14:33 AM,8/5/2025 07:18:45 AM
"Donner-Reuschel_Microsoft 365 Backup Exchange",-,Backup,Successful,44.2 MB backed up in 156 files.,8/5/2025 07:11:24 AM,8/5/2025 07:16:56 AM
"Donner-Reuschel_Microsoft 365 Backup User Teams Chats",-,Backup,Successful,12.7 MB backed up in 2600 files.,8/4/2025 11:11:55 PM,8/4/2025 11:50:21 PM
"Donner-Reuschel_Microsoft 365 Backup OneDrive",-,Backup,Successful,106.8 MB backed up in 61 files.,8/4/2025 07:16:03 PM,8/4/2025 07:18:09 PM
"Donner-Reuschel_Microsoft 365 Backup SharePoint and Groups & Teams",-,Backup,Successful,548.4 MB backed up in 3906 files.,8/4/2025 07:14:33 PM,8/4/2025 07:30:17 PM
"Donner-Reuschel_Microsoft 365 Backup Exchange",-,Backup,Successful,974.1 MB backed up in 1098 files.,8/4/2025 07:11:24 PM,8/4/2025 07:23:14 PM
"Donner-Reuschel_Microsoft 365 Backup User Teams Chats",-,Backup,Successful,6.8 MB backed up in 2438 files.,8/4/2025 10:12:06 AM,8/4/2025 10:33:23 AM
"Donner-Reuschel_Microsoft 365 Backup OneDrive",-,Backup,Successful,0 B backed up in 0 files.,8/4/2025 07:13:44 AM,8/4/2025 07:14:19 AM
"Donner-Reuschel_Microsoft 365 Backup SharePoint and Groups & Teams",-,Backup,Successful,423.3 kB backed up in 32 files.,8/4/2025 07:13:38 AM,8/4/2025 07:14:38 AM
"Donner-Reuschel_Microsoft 365 Backup Exchange",-,Backup,Successful,126.1 MB backed up in 176 files.,8/4/2025 07:11:24 AM,8/4/2025 07:15:25 AM
"Donner-Reuschel_Microsoft 365 Backup User Teams Chats",-,Backup,Successful,5.8 MB backed up in 2362 files.,8/3/2025 10:12:05 PM,8/3/2025 10:22:00 PM
"Donner-Reuschel_Microsoft 365 Backup OneDrive",-,Backup,Successful,1.1 kB backed up in 5 files.,8/3/2025 07:13:44 PM,8/3/2025 07:14:26 PM
"Donner-Reuschel_Microsoft 365 Backup SharePoint and Groups & Teams",-,Backup,Successful,423.3 kB backed up in 32 files.,8/3/2025 07:13:34 PM,8/3/2025 07:14:43 PM
"Donner-Reuschel_Microsoft 365 Backup Exchange",-,Backup,Successful,104.8 MB backed up in 597 files.,8/3/2025 07:11:24 PM,8/3/2025 07:18:49 PM
"Donner-Reuschel_Microsoft 365 Backup User Teams Chats",-,Backup,Successful,5.8 MB backed up in 2362 files.,8/3/2025 10:12:05 AM,8/3/2025 10:16:00 AM
"Donner-Reuschel_Microsoft 365 Backup OneDrive",-,Backup,Successful,3.1 kB backed up in 14 files.,8/3/2025 07:13:44 AM,8/3/2025 07:14:22 AM
"Donner-Reuschel_Microsoft 365 Backup SharePoint and Groups & Teams",-,Backup,Successful,752.5 kB backed up in 122 files.,8/3/2025 07:13:34 AM,8/3/2025 07:14:24 AM
"Donner-Reuschel_Microsoft 365 Backup Exchange",-,Backup,Successful,67.4 MB backed up in 110 files.,8/3/2025 07:11:24 AM,8/3/2025 07:13:46 AM
"Donner-Reuschel_Microsoft 365 Backup User Teams Chats",-,Backup,Successful,5.8 MB backed up in 2363 files.,8/2/2025 10:12:05 PM,8/2/2025 10:17:58 PM
"Donner-Reuschel_Microsoft 365 Backup OneDrive",-,Backup,Successful,478 B backed up in 2 files.,8/2/2025 07:13:44 PM,8/2/2025 07:14:15 PM
"Donner-Reuschel_Microsoft 365 Backup SharePoint and Groups & Teams",-,Backup,Successful,423.3 kB backed up in 32 files.,8/2/2025 07:13:34 PM,8/2/2025 07:14:33 PM
"Donner-Reuschel_Microsoft 365 Backup Exchange",-,Backup,Successful,109.2 MB backed up in 168 files.,8/2/2025 07:11:24 PM,8/2/2025 07:15:20 PM
"Donner-Reuschel_Microsoft 365 Backup User Teams Chats",-,Backup,Successful,5.8 MB backed up in 2362 files.,8/2/2025 10:12:05 AM,8/2/2025 10:23:05 AM
"Donner-Reuschel_Microsoft 365 Backup OneDrive",-,Backup,Successful,175.9 kB backed up in 3 files.,8/2/2025 07:13:44 AM,8/2/2025 07:14:15 AM
"Donner-Reuschel_Microsoft 365 Backup SharePoint and Groups & Teams",-,Backup,Successful,6.7 MB backed up in 386 files.,8/2/2025 07:13:34 AM,8/2/2025 07:16:41 AM
"Donner-Reuschel_Microsoft 365 Backup Exchange",-,Backup,Successful,40.7 MB backed up in 238 files.,8/2/2025 07:11:24 AM,8/2/2025 07:23:18 AM
"Donner-Reuschel_Microsoft 365 Backup User Teams Chats",-,Backup,Successful,8.1 MB backed up in 2653 files.,8/1/2025 10:12:04 PM,8/1/2025 10:47:14 PM
"Donner-Reuschel_Microsoft 365 Backup OneDrive",-,Backup,Successful,14.5 MB backed up in 22 files.,8/1/2025 07:13:44 PM,8/1/2025 07:46:38 PM
"Donner-Reuschel_Microsoft 365 Backup SharePoint and Groups & Teams",-,Backup,Successful,177 MB backed up in 3502 files.,8/1/2025 07:13:34 PM,8/1/2025 07:21:05 PM
"Donner-Reuschel_Microsoft 365 Backup Exchange",-,Backup,Successful,737.9 MB backed up in 1371 files.,8/1/2025 07:11:24 PM,8/1/2025 07:20:08 PM
"Donner-Reuschel_Microsoft 365 Backup User Teams Chats",-,Backup,Successful,6 MB backed up in 2441 files.,8/1/2025 10:10:12 AM,8/1/2025 10:33:16 AM
"Donner-Reuschel_Microsoft 365 Backup OneDrive",-,Backup,Successful,11.9 MB backed up in 4 files.,8/1/2025 07:13:44 AM,8/1/2025 07:14:24 AM
"Donner-Reuschel_Microsoft 365 Backup SharePoint and Groups & Teams",-,Backup,Successful,17.2 MB backed up in 497 files.,8/1/2025 07:13:15 AM,8/1/2025 07:17:13 AM
"Donner-Reuschel_Microsoft 365 Backup Exchange",-,Backup,Successful,161.3 MB backed up in 318 files.,8/1/2025 07:11:24 AM,8/1/2025 07:16:53 AM
